wellName,datasetName,DEPT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL,Core_facies1
,,ft,gAPI,ohm.m,frac,v/v,v/v,g/cm3,v/v,
ADSW-4ST3,ADSW-4ST3,6585,117.9916,1.48,0.39,0.08643787,0.2,2.32,0.5678107,-9999
ADSW-4ST3,ADSW-4ST3,6585.5,104.4802,1.48,0.38,0.09824811,0.2060606,2.31,0.5232078,-9999
ADSW-4ST3,ADSW-4ST3,6586,102.35,1.49,0.38,0.1255035,0.230303,2.27,0.4550505,-9999
ADSW-4ST3,ADSW-4ST3,6586.5,115.3137,1.49,0.39,0.1336884,0.2424242,2.25,0.4485354,-9999
ADSW-4ST3,ADSW-4ST3,6587,115.902,1.49,0.4,0.1128075,0.230303,2.27,0.5101778,-9999
ADSW-4ST3,ADSW-4ST3,6587.5,111.8141,1.36,0.42,0.0874072,0.2181818,2.29,0.5993837,-9999
ADSW-4ST3,ADSW-4ST3,6588,116.0339,1.29,0.42,0.07552899,0.2060606,2.31,0.6334623,-9999
ADSW-4ST3,ADSW-4ST3,6588.5,115.6586,1.25,0.43,0.05408205,0.1878788,2.34,0.712144,-9999
ADSW-4ST3,ADSW-4ST3,6589,114.2486,1.15,0.41,0.05926257,0.1818182,2.35,0.674056,-9999
ADSW-4ST3,ADSW-4ST3,6589.5,105.7684,1.15,0.4,0.07516826,0.1939394,2.33,0.6124138,-9999
ADSW-4ST3,ADSW-4ST3,6590,103.5165,1.2,0.4,0.08688854,0.2060606,2.31,0.5783351,-9999
ADSW-4ST3,ADSW-4ST3,6590.5,103.5977,1.27,0.39,0.09890533,0.2121212,2.3,0.5337321,-9999
ADSW-4ST3,ADSW-4ST3,6591,100.9096,1.27,0.39,0.1191555,0.230303,2.27,0.4826141,-9999
ADSW-4ST3,ADSW-4ST3,6591.5,99.08372,1.31,0.37,0.1393488,0.2363636,2.26,0.4104475,-9999
ADSW-4ST3,ADSW-4ST3,6592,98.40409,1.32,0.37,0.1393488,0.2363636,2.26,0.4104475,-9999
ADSW-4ST3,ADSW-4ST3,6592.5,103.0093,1.34,0.37,0.1393488,0.2363636,2.26,0.4104475,-9999
ADSW-4ST3,ADSW-4ST3,6593,107.2697,1.34,0.37,0.1393488,0.2363636,2.26,0.4104475,-9999
ADSW-4ST3,ADSW-4ST3,6593.5,109.8665,1.39,0.38,0.1114627,0.2181818,2.29,0.4891291,-9999
ADSW-4ST3,ADSW-4ST3,6594,109.7346,1.39,0.37,0.0851538,0.1878788,2.34,0.5467622,-9999
ADSW-4ST3,ADSW-4ST3,6594.5,107.9798,1.39,0.38,0.05365093,0.1575757,2.39,0.6595228,-9999
ADSW-4ST3,ADSW-4ST3,6595,109.9477,1.44,0.35,0.04301454,0.1272727,2.44,0.6620285,-9999
ADSW-4ST3,ADSW-4ST3,6595.5,111.8648,1.48,0.34,0.05570372,0.1393939,2.42,0.6003862,-9999
ADSW-4ST3,ADSW-4ST3,6596,114.0863,1.52,0.34,0.088204,0.1757576,2.36,0.4981499,-9999
ADSW-4ST3,ADSW-4ST3,6596.5,113.9544,1.52,0.36,0.07851495,0.1757576,2.36,0.5532772,-9999
ADSW-4ST3,ADSW-4ST3,6597,118.8944,1.12,0.39,0.05888363,0.169697,2.37,0.6530073,-9999
ADSW-4ST3,ADSW-4ST3,6597.5,120.9333,1.06,0.4,0.04948185,0.1636363,2.38,0.6976108,-9999
