wellName,datasetName,DEPT,DT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL
,,ft,US/F,gAPI,ohm.m,frac,v/v,v/v,g/cm3,v/v
AD-3,AD-3,5235.5,120.5603,81.17388,1.34,0.3834473,0.1974026,0.2936364,2.1655,0.3277313
AD-3,AD-3,5236,120,80.36478,1.3415,0.3879395,0.1921764,0.2929697,2.1666,0.34404
AD-3,AD-3,5236.5,119.9461,79.14285,1.343,0.3924316,0.1868763,0.2922425,2.1678,0.3605435
AD-3,AD-3,5237,120.3273,77.81824,1.3445,0.3924316,0.1857294,0.2915152,2.169,0.3628825
AD-3,AD-3,5237.5,120.3087,77.53971,1.3521,0.3856934,0.190764,0.2907878,2.1702,0.3439752
AD-3,AD-3,5238,121.0619,77.60123,1.3725,0.3812012,0.193717,0.2900605,2.1714,0.3321497
AD-3,AD-3,5238.5,121.044,77.5689,1.374,0.3901855,0.1843581,0.2893333,2.1726,0.3628176
AD-3,AD-3,5239,120.616,76.62336,1.3971,0.3991699,0.1750437,0.2886061,2.1738,0.3934856
AD-3,AD-3,5239.5,119.3818,75.32429,1.4287,0.4081543,0.1628736,0.2859394,2.1782,0.4303912
AD-3,AD-3,5240,112.401,73.10244,1.4532,0.3879395,0.1871717,0.2898183,2.1718,0.3541757
AD-3,AD-3,5240.5,98.1703,67.89503,1.4856,0.3452637,0.2327559,0.2936364,2.1655,0.207333
AD-3,AD-3,5241,88.8971,64.35519,1.4886,0.2980957,0.2837904,0.2975151,2.1591,0.04613119
AD-3,AD-3,5241.5,97.1615,62.59406,1.4807,0.2896071,0.2896071,0.2896071,2.172148,0
AD-3,AD-3,5242,106.5718,61.31033,1.4423,0.3005562,0.2961086,0.2982595,2.157872,0.007211511
AD-3,AD-3,5242.5,116.2593,60.17718,1.405,0.3115723,0.2930876,0.3090303,2.1401,0.05158947
AD-3,AD-3,5243,121.1828,59.48625,1.3504,0.3497559,0.2629962,0.3129092,2.1337,0.1595125
AD-3,AD-3,5243.5,120.3419,59.18946,1.2808,0.3587402,0.2382923,0.3040606,2.1483,0.2163001
AD-3,AD-3,5244,118.6828,59.28858,1.2149,0.3564941,0.2446443,0.3064243,2.1444,0.2016158
AD-3,AD-3,5244.5,117.0244,59.7089,1.1731,0.3452637,0.2623767,0.3101818,2.1382,0.1541197
AD-3,AD-3,5245,116.28,59.92163,1.1252,0.3385254,0.268967,0.3101818,2.1382,0.132873
AD-3,AD-3,5245.5,116.2544,59.979,1.1035,0.3317871,0.2733899,0.3090303,2.1401,0.1153297
AD-3,AD-3,5246,117.4683,59.71711,1.0847,0.3340332,0.2665707,0.3065454,2.1442,0.1304039
AD-3,AD-3,5246.5,118.0378,59.3912,1.0612,0.3362793,0.2642877,0.3064848,2.1443,0.1376809
AD-3,AD-3,5247,118.5698,59.0867,1.0621,0.3407715,0.26632,0.3099393,2.1386,0.1407351
AD-3,AD-3,5247.5,118.54,58.92892,1.0632,0.3430176,0.2730515,0.3147272,2.1307,0.1324186
AD-3,AD-3,5248,118.3485,59.00877,1.0644,0.3475098,0.2799033,0.3207273,2.1208,0.1272857
AD-3,AD-3,5248.5,117.8327,59.51587,1.0656,0.3587402,0.2733237,0.3232727,2.1166,0.1545103
AD-3,AD-3,5249,117.2587,60.24847,1.0668,0.3587402,0.2688857,0.320909,2.1205,0.1621123
AD-3,AD-3,5249.5,117.6399,61.05628,1.0679,0.354248,0.2643717,0.3160606,2.1285,0.1635413
AD-3,AD-3,5250,117.612,61.81664,1.0692,0.3452637,0.2648405,0.3115152,2.136,0.1498312
AD-3,AD-3,5250.5,118.805,62.42422,1.0707,0.3385254,0.2737344,0.3127272,2.134,0.1246864
AD-3,AD-3,5251,119.1751,62.90855,1.0723,0.3407715,0.2782619,0.3163031,2.1281,0.120268
AD-3,AD-3,5251.5,119.5181,63.24266,1.0751,0.3497559,0.277172,0.3204848,2.1212,0.1351477
AD-3,AD-3,5252,119.488,63.29233,1.0918,0.3564941,0.28533,0.3283636,2.1082,0.1310546
AD-3,AD-3,5252.5,118.9635,63.22711,1.0971,0.3654785,0.275913,0.328303,2.1083,0.1595784
AD-3,AD-3,5253,117.7741,62.73593,1.0987,0.352002,0.2771962,0.321697,2.1192,0.1383314
AD-3,AD-3,5253.5,116.8742,61.78111,1.1001,0.3430176,0.2759071,0.3162424,2.1282,0.1275454
AD-3,AD-3,5254,116.1289,60.64188,1.0816,0.3385254,0.2735064,0.312606,2.1342,0.1250763
AD-3,AD-3,5254.5,115.748,59.97536,1.0834,0.3452637,0.264616,0.311394,2.1362,0.1502211
AD-3,AD-3,5255,115.7141,59.84998,1.085,0.352002,0.2625669,0.3138787,2.1321,0.1634765
AD-3,AD-3,5255.5,116.2319,60.73223,1.0874,0.3587402,0.2636976,0.3181213,2.1251,0.1710783
AD-3,AD-3,5256,117.3252,61.73986,1.0692,0.3632324,0.269085,0.3234545,2.1163,0.1680901
AD-3,AD-3,5256.5,118.1455,62.80079,1.0699,0.3632324,0.2758208,0.3270303,2.1104,0.1565895
AD-3,AD-3,5257,118.8104,63.76204,1.0718,0.3587402,0.2896686,0.3318182,2.1025,0.1270262
AD-3,AD-3,5257.5,118.78,64.52247,1.0543,0.354248,0.2991253,0.3342424,2.0985,0.1050649
AD-3,AD-3,5258,118.7356,65.02258,1.055,0.3564941,0.3022553,0.3370303,2.0939,0.1031807
AD-3,AD-3,5258.5,118.9723,65.42226,1.0563,0.3609863,0.300229,0.3384243,2.0916,0.112862
AD-3,AD-3,5259,119.6858,65.85772,1.0391,0.3699707,0.296572,0.3414545,2.0866,0.1314452
AD-3,AD-3,5259.5,120.1603,66.10291,1.0403,0.3654785,0.3012886,0.3413939,2.0867,0.1174754
AD-3,AD-3,5260,121.0415,66.13881,1.0491,0.3587402,0.3037083,0.3389697,2.0907,0.1040254
AD-3,AD-3,5260.5,121.012,65.95092,1.0628,0.3564941,0.2989033,0.3353333,2.0967,0.1086385
AD-3,AD-3,5261,120.5485,65.33999,1.0644,0.3632324,0.2802025,0.3293333,2.1066,0.1491827
AD-3,AD-3,5261.5,119.7486,64.71172,1.0659,0.376709,0.2674545,0.33,2.1055,0.1895318
AD-3,AD-3,5262,120.1298,64.20612,1.0754,0.3677246,0.2846885,0.3341212,2.0987,0.1479483
AD-3,AD-3,5262.5,120.1,63.91725,1.0921,0.3564941,0.2965202,0.3341212,2.0987,0.1125371
AD-3,AD-3,5263,120.072,63.81877,1.1091,0.3564941,0.2913108,0.3314545,2.1031,0.1211136
AD-3,AD-3,5263.5,119.6153,63.76775,1.1264,0.3677246,0.2700498,0.3264243,2.1114,0.172703
AD-3,AD-3,5264,119.1219,64.09579,1.1348,0.3609863,0.2616681,0.3182424,2.1249,0.1777711
AD-3,AD-3,5264.5,118.3718,65.02007,1.1365,0.354248,0.2593421,0.3133334,2.133,0.1723126
AD-3,AD-3,5265,118.753,66.07002,1.1499,0.3497559,0.2575397,0.3099393,2.1386,0.1690641
AD-3,AD-3,5265.5,118.7343,66.99109,1.1645,0.354248,0.2567899,0.3119394,2.1353,0.1767958
AD-3,AD-3,5266,119.1062,67.69821,1.1793,0.3609863,0.2663875,0.3207879,2.1207,0.1695839
AD-3,AD-3,5266.5,118.5082,68.0805,1.1861,0.3699707,0.2564113,0.320303,2.1215,0.1994726
AD-3,AD-3,5267,117.9922,68.24399,1.1879,0.3699707,0.2356508,0.3087273,2.1406,0.2367025
AD-3,AD-3,5267.5,116.8913,68.23171,1.1896,0.3632324,0.2137829,0.2922425,2.1678,0.2684743
